"la_name","SEN_Unit","RP_Unit","Total pupils","EHC plan"
"Hammersmith and Fulham","0","0","212","10"
"Hammersmith and Fulham","0","0","393","17"
"Hammersmith and Fulham","1","0","234","29"
"Hammersmith and Fulham","0","0","220","3"
"Hammersmith and Fulham","0","0","216","5"
"Hammersmith and Fulham","0","0","288","15"
"Hammersmith and Fulham","0","0","262","13"
"Hammersmith and Fulham","0","0","296","15"
"Hammersmith and Fulham","0","0","407","15"
"Hammersmith and Fulham","0","0","371","11"
"Hammersmith and Fulham","0","0","216","5"
"Hammersmith and Fulham","0","0","621","18"
"Hammersmith and Fulham","0","0","205","5"
"Hammersmith and Fulham","0","0","206","12"
"Hammersmith and Fulham","0","0","369","7"
"Hammersmith and Fulham","0","0","190","10"
"Hammersmith and Fulham","0","0","189","9"
"Hammersmith and Fulham","0","0","204","5"
"Hammersmith and Fulham","0","0","439","12"
"Hammersmith and Fulham","0","0","211","6"
"Hammersmith and Fulham","0","0","330","16"
"Hammersmith and Fulham","0","0","202","4"
"Hammersmith and Fulham","0","0","777","0"
"Hammersmith and Fulham","0","0","304","0"
"Hammersmith and Fulham","0","0","823","0"
"Hammersmith and Fulham","0","0","1427","5"
"Hammersmith and Fulham","0","0","255","0"
"Hammersmith and Fulham","0","0","93","0"
"Hammersmith and Fulham","0","0","412","0"
"Hammersmith and Fulham","0","0","99","4"
"Hammersmith and Fulham","0","0","108","0"
"Hammersmith and Fulham","0","0","41","0"
"Hammersmith and Fulham","0","0","253","252"
"Hammersmith and Fulham","0","0","105","99"
"Hammersmith and Fulham","0","0","70","70"
"Hammersmith and Fulham","0","0","117","117"
"Islington","0","0","81","0"
"Islington","0","0","83","0"
"Islington","0","0","89","0"
"Islington","0","0","16","10"
"Islington","0","0","27","7"
"Islington","0","0","511","13"
"Islington","0","0","162","12"
"Islington","0","0","289","8"
"Islington","0","0","403","13"
"Islington","0","0","228","8"
"Islington","0","0","458","13"
"Islington","0","0","322","8"
"Islington","0","0","364","12"
"Islington","1","0","396","73"
"Islington","0","0","371","12"
"Islington","0","0","317","3"
"Islington","0","0","237","10"
"Islington","0","0","460","11"
"Islington","0","0","183","3"
"Islington","0","0","265","9"
"Islington","0","0","456","9"
"Islington","0","0","400","16"
"Islington","0","0","308","8"
"Islington","0","0","437","14"
"Islington","0","0","373","20"
"Islington","0","0","475","9"
"Islington","0","0","292","10"
"Islington","0","0","226","9"
"Islington","0","0","203","7"
"Islington","0","0","458","7"
"Islington","0","0","163","14"
"Islington","0","0","231","11"
"Islington","0","0","228","7"
"Islington","0","0","179","2"
"Islington","0","0","223","4"
"Islington","0","0","201","5"
"Islington","0","0","456","7"
"Islington","0","0","291","9"
"Islington","0","0","139","3"
"Islington","0","0","423","16"
"Islington","0","0","772","10"
"Islington","0","0","891","17"
"Islington","0","0","1035","28"
"Islington","0","0","711","11"
"Islington","0","0","45","0"
"Islington","0","0","100","1"
"City of London","0","0","197","0"
"Islington","0","0","87","85"
"Islington","0","0","124","124"
"Kensington and Chelsea","0","0","33","3"
"Kensington and Chelsea","0","0","64","0"
"Kensington and Chelsea","0","0","70","5"
"Kensington and Chelsea","0","0","33","3"
"Kensington and Chelsea","0","0","209","8"
"Kensington and Chelsea","1","0","341","25"
"Kensington and Chelsea","0","0","328","14"
"Kensington and Chelsea","0","0","435","13"
"Kensington and Chelsea","0","0","466","12"
"Kensington and Chelsea","0","0","391","19"
"Kensington and Chelsea","1","0","353","33"
"Kensington and Chelsea","0","0","314","9"
"Kensington and Chelsea","0","0","176","9"
"Kensington and Chelsea","0","0","327","16"
"Kensington and Chelsea","0","0","234","13"
"Kensington and Chelsea","0","0","206","12"
"Kensington and Chelsea","0","0","180","16"
"Kensington and Chelsea","0","0","210","4"
"Kensington and Chelsea","0","0","216","12"
"Kensington and Chelsea","0","0","199","6"
"Kensington and Chelsea","0","0","206","11"
"Kensington and Chelsea","0","0","170","8"
"Kensington and Chelsea","0","0","216","4"
"Kensington and Chelsea","0","0","190","2"
"Kensington and Chelsea","0","0","185","5"
"Kensington and Chelsea","0","0","237","8"
"Kensington and Chelsea","0","0","228","7"
"Kensington and Chelsea","0","0","641","17"
"Kensington and Chelsea","0","0","588","28"
"Kensington and Chelsea","0","0","180","6"
"Kensington and Chelsea","0","0","264","8"
"Kensington and Chelsea","0","0","80","0"
"Kensington and Chelsea","0","0","250","0"
"Hammersmith and Fulham","0","0","298","1"
"Kensington and Chelsea","0","0","218","0"
"Kensington and Chelsea","0","0","508","1"
"Kensington and Chelsea","0","0","138","2"
"Kensington and Chelsea","0","0","184","0"
"Kensington and Chelsea","0","0","74","0"
"Kensington and Chelsea","0","0","553","1"
"Kensington and Chelsea","0","0","359","1"
"Kensington and Chelsea","0","0","326","0"
"Kensington and Chelsea","0","0","163","2"
"Kensington and Chelsea","0","0","452","0"
"Hounslow","0","0","63","0"
"Hammersmith and Fulham","0","0","268","0"
"Surrey","0","0","389","5"
"Lambeth","0","0","301","5"
"Wandsworth","0","0","608","0"
"Kensington and Chelsea","0","0","414","0"
"Kensington and Chelsea","0","0","401","0"
"Kensington and Chelsea","0","0","417","0"
"Kensington and Chelsea","0","0","397","0"
"Westminster","0","0","234","0"
"Kensington and Chelsea","0","0","255","0"
"Kensington and Chelsea","0","0","57","0"
"Kensington and Chelsea","0","0","133","3"
"Kensington and Chelsea","0","0","439","2"
"Westminster","0","0","191","2"
"Kensington and Chelsea","0","0","186","0"
"Westminster","0","0","111","0"
"City of London","0","0","247","0"
"Kensington and Chelsea","0","0","122","1"
"Kensington and Chelsea","0","0","3460","0"
"Kensington and Chelsea","0","0","107","12"
"Lambeth","0","0","75","2"
"Lambeth","0","0","130","1"
"Lambeth","0","0","126","4"
"Lambeth","0","0","106","0"
"Lambeth","0","0","139","1"
"Lambeth","0","0","237","7"
"Lambeth","0","0","433","13"
"Lambeth","0","0","611","10"
"Lambeth","0","0","366","7"
"Lambeth","0","0","844","15"
"Lambeth","0","0","383","11"
"Lambeth","0","0","698","15"
"Lambeth","1","0","365","52"
"Lambeth","0","0","522","12"
"Lambeth","0","0","303","15"
"Lambeth","0","0","532","17"
"Lambeth","0","0","329","14"
"Lambeth","0","0","414","13"
"Lambeth","0","0","420","10"
"Lambeth","0","0","229","6"
"Lambeth","0","0","308","5"
"Lambeth","0","0","1270","31"
"Lambeth","0","1","508","90"
"Lambeth","1","0","342","26"
"Lambeth","0","0","398","8"
"Lambeth","0","0","417","11"
"Lambeth","0","1","355","29"
"Lambeth","0","0","166","12"
"Lambeth","0","0","1000","29"
"Lambeth","0","0","219","10"
"Lambeth","0","0","230","4"
"Lambeth","1","0","384","16"
"Lambeth","0","0","193","5"
"Lambeth","0","0","186","11"
"Lambeth","0","0","196","6"
"Lambeth","0","0","172","5"
"Lambeth","0","0","222","3"
"Lambeth","0","0","199","5"
"Lambeth","0","0","216","8"
"Lambeth","0","0","191","4"
"Lambeth","0","0","213","5"
"Lambeth","0","0","270","11"
"Lambeth","0","0","283","15"
